ภูมิภาคอย่างเป็นทางการ,All,,,
กรุงเทพปริมณฑลต่างจังหวัด,All,,,
,,,,
ProvinceThai,DistrictThaiShort,Distinct Count of PostCode,All Post Code,
พิจิตร,ดงเจริญ,1,66210,
,ตะพานหิน,2,66110/66150,
,ทับคล้อ,2,66150/66230,
,บางมูลนาก,2,66120/66210,
,บึงนาราง,1,66130,
,โพทะเล,1,66130,
,โพธิ์ประทับช้าง,1,66190,
,เมืองพิจิตร,2,66000/66170,
,วชิรบารมี,2,66140/66220,
,วังทรายพูน,1,66180,
,สากเหล็ก,1,66160,
,สามง่าม,2,66140/66220,
พิจิตร Total,,13,66000/66110/66120/66130/66140/66150/66160/66170/66180/66190/66210/66220/66230,
พิษณุโลก,ชาติตระการ,1,65170,
,นครไทย,1,65120,
,เนินมะปราง,1,65190,
,บางกระทุ่ม,2,65110/65210,
,บางระกำ,2,65140/65240,
,พรหมพิราม,2,65150/65180,
,เมืองพิษณุโลก,2,65000/65230,
,วังทอง,2,65130/65220,
,วัดโบสถ์,1,65160,
พิษณุโลก Total,,14,65000/65110/65120/65130/65140/65150/65160/65170/65180/65190/65210/65220/65230/65240,
เพชรบุรี,แก่งกระจาน,1,76170,
,เขาย้อย,1,76140,
,ชะอำ,1,76120,
,ท่ายาง,1,76130,
,บ้านลาด,1,76150,
,บ้านแหลม,2,76100/76110,
,เมืองเพชรบุรี,2,76000/76100,
,หนองหญ้าปล้อง,1,76160,
เพชรบุรี Total,,9,76000/76100/76110/76120/76130/76140/76150/76160/76170,
เพชรบูรณ์,เขาค้อ,2,67270/67280,
,ชนแดน,2,67150/67190,
,น้ำหนาว,1,67260,
,บึงสามพัน,2,67160/67230,
,เมืองเพชรบูรณ์,3,67000/67210/67250,
,วังโป่ง,1,67240,
,วิเชียรบุรี,2,67130/67180,
,ศรีเทพ,1,67170,
,หนองไผ่,2,67140/67220,
,หล่มเก่า,1,67120,
,หล่มสัก,1,67110,
เพชรบูรณ์ Total,,18,67000/67110/67120/67130/67140/67150/67160/67170/67180/67190/67210/67220/67230/67240/67250/67260/67270/67280,
แพร่,เด่นชัย,1,54110,
,เมืองแพร่,1,54000,
,ร้องกวาง,1,54140,
,ลอง,1,54150,
,วังชิ้น,1,54160,
,สอง,1,54120,
,สูงเม่น,2,54000/54130,
,หนองม่วงไข่,1,54170,
แพร่ Total,,8,54000/54110/54120/54130/54140/54150/54160/54170,
ภูเก็ต,กะทู้,2,83120/83150,
,ถลาง,1,83110,
,เมืองภูเก็ต,3,83000/83100/83130,
ภูเก็ต Total,,6,83000/83100/83110/83120/83130/83150,
มหาสารคาม,กันทรวิชัย,1,44150,
,กุดรัง,1,44130,
,แกดำ,1,44190,
,โกสุมพิสัย,1,44140,
,ชื่นชม,1,44160,
,เชียงยืน,1,44160,
